信息编号,书名,评论数,推荐比例,作者,出版日期,出版社,评分次数,价格
1,做个侃爷：精于闲聊 施展魅力（与任何人滔滔不绝的技巧）,38975,99.8%,帕特里克・金 著，邹鑫/何丹妮 译,2016-08-01,天津人民出版社,26043,"24.00
元"
2,有话说（崔永元新书，ZUI高级的说话是实话实说）,57250,100%,崔永元,2018-12-25,浙江人民出版社,7973,"44.30
元"
3,公众号运营：内容创作+运营推广+商业变现,8074,100%,魏颖  编著,2019-02-01,化学工业出版社,7002,"49.60
元"
4,谋杀鉴赏（《读者的选择》最佳小说奖、国际推理小说“安东尼”奖...,23543,100%,莉比・菲舍尔・赫尔曼 著 汪德均 王秋菊 李红懿 译,2016-05-01,天津人民出版社,19308,"27.30
元"
5,绩效量化管理实操指南,9150,100%,冯涛,2018-06-26,中国铁道出版社,7175,"47.10
元"
6,文案策划：撰写技巧与经典案例,7295,99.9%,张贵泉，张洵  编著,2019-01-01,化学工业出版社,5634,"42.60
元"
7,新手小白开公司：注册、财务、运营一本通,11625,99.9%,叶小荣,2017-08-01,电子工业出版社,7736,"38.30
元"
8,区块链+ 开启智能新时代,8483,100%,张元林，陈序，赵熙,2018-07-01,人民邮电出版社,7404,"57.90
元"
9,企业融资：从天使投资到IPO,9015,100%,廖连中,2017-08-01,清华大学出版社,6923,"50.20
元"
10,呐喊――大屠杀回忆录（二战犹太大屠杀幸存者自述――一部震撼人...,18581,100%,曼尼・斯坦伯格 著，张佳敏 余林杰 译,2017-04-01,天津人民出版社,13805,"26.40
元"
11,孤独力（孤独，是我们认识自己最好的机会）,10669,99.9%,（日）午堂登纪雄 著  闫雪 译，儒意欣欣 出品,2019-01-01,天津人民出版社,3212,"36.60
元"
12,转化率：淘宝天猫运营100招,7361,99.9%,仲小建,2018-10-01,电子工业出版社,6230,"50.20
元"
13,股权融资：理论、案例、方法一本通,6006,100%,张淼,2017-08-01,电子工业出版社,4836,"38.30
元"
14,合伙创业：合作机制+股份分配+风险规避,6553,99.9%,曹海涛,2018-12-07,清华大学出版社,5388,"55.30
元"
15,区块链接智能,2241,100%,吴锐,2018-12-01,电子工业出版社,2102,"62.40
元"
16,旋木情缘（《今日美国》畅销书获奖作品中国首发：一座重获新生的...,12494,100%,堂娜・法萨诺 著，杨昱程 王晓毅 陈海滨 译,2017-01-01,天津人民出版社,8878,"27.30
元"
17,夏摩山谷（文艺女神袁泉推荐！庆山2019重磅长篇。充满泪水与光亮...,64533,99.9%,庆山（安妮宝贝），果麦文化 出品,2019-01-01,江苏凤凰文艺出版社,2342,"50.20
元"
18,美的人,5757,100%,邱伟杰,2018-04-01,四川文艺出版社,2983,"24.70
元"
19,《另类间谍》（推理小说名家赫尔曼之战争三部曲 展现人性深处的生...,5881,99.9%,"[美] 莉比・菲舍尔・赫尔曼 著 ,汪德均 译",2017-03-01,天津人民出版社,5060,"20.80
元"
20,安卡的故事（聚焦人类史上极其残忍恐怖的犯罪，一场被血污沾染的...,3527,100%,[英]马克・威廉姆斯 著；周晔/刘畅/王雅琴 译,2018-08-01,天津人民出版社,2948,"32.40
元"
